State/Province,Region,Route_Volume,Average_Lead_Time,Median_Lead_Time,Sales,Gross_Profit,Bottleneck_Score
New York,Atlantic,1128,1324.49,1274.0,15541.03,10222.44,2.897
Washington,Pacific,506,1360.66,1275.0,6921.15,4566.64,1.409
Pennsylvania,Atlantic,587,1324.2,1273.0,8027.03,5225.47,1.225
Illinois,Interior,492,1323.15,1274.0,6898.96,4557.68,0.92
Ohio,Atlantic,469,1325.73,1273.0,6768.95,4413.03,0.88
Tennessee,Gulf,183,1391.49,1276.0,2383.56,1573.52,0.78
Indiana,Interior,149,1381.5,1274.0,2002.78,1343.44,0.556
North Carolina,Gulf,249,1334.88,1274.0,3450.86,2331.16,0.31
Georgia,Gulf,184,1338.64,1274.0,2692.84,1751.32,0.154
Colorado,Pacific,182,1337.19,1274.0,2544.91,1694.63,0.131
Maryland,Atlantic,105,1356.78,1274.0,1476.99,997.5699999999999,0.126
Connecticut,Atlantic,82,1357.55,1274.0,980.57,653.83,0.065
New Jersey,Atlantic,130,1338.33,1274.0,1578.3500000000001,1017.76,-0.016
Wisconsin,Interior,110,1343.0,1274.0,1920.5,1219.58,-0.022
Kentucky,Gulf,139,1328.45,1274.0,1880.63,1242.3700000000001,-0.106
Minnesota,Interior,89,1335.47,1275.0,1161.46,779.28,-0.176
Missouri,Interior,66,1339.86,1274.0,882.83,595.41,-0.195
