State/Province,Region,Route_Volume,Average_Lead_Time,Median_Lead_Time,Sales,Gross_Profit
Maine,Atlantic,8,1137.12,1274.0,126.48,85.10000000000001
Newfoundland and Labrador,Atlantic,6,1216.17,1094.5,162.0,112.5
Nevada,Pacific,39,1226.79,1273.0,759.46,469.48
Virginia,Gulf,224,1229.12,1273.0,3177.84,2080.84
Ontario,Atlantic,58,1247.47,1272.0,814.57,542.57
Utah,Pacific,53,1253.0,1275.0,856.41,556.21
South Carolina,Gulf,42,1255.43,1273.0,601.07,398.83
Louisiana,Gulf,42,1263.79,1273.0,525.21,347.45
Mississippi,Gulf,53,1266.57,1274.0,844.1800000000001,557.94
Oregon,Pacific,124,1267.71,1273.0,1920.15,1253.11
Delaware,Atlantic,96,1269.75,1273.5,1323.59,861.71
Nova Scotia,Atlantic,6,1272.67,1273.0,87.5,56.900000000000006
New Brunswick,Atlantic,8,1273.25,1273.0,172.72,118.72
Kansas,Interior,24,1273.29,1273.0,263.18,179.22
Montana,Pacific,15,1273.8,1273.0,202.11,135.47
Wyoming,Pacific,1,1274.0,1274.0,13.96,9.96
Alberta,Pacific,26,1274.08,1273.0,530.32,326.3
Arkansas,Gulf,60,1285.73,1273.0,891.94,588.02
Quebec,Atlantic,50,1288.24,1274.0,597.68,381.36
British Columbia,Pacific,22,1290.32,1274.0,290.9,198.3
Alabama,Gulf,61,1291.28,1273.0,995.11,622.11
New Hampshire,Atlantic,27,1300.04,1273.0,428.27,264.53
Michigan,Interior,255,1300.56,1273.0,3331.0,2236.21
Oklahoma,Interior,66,1301.36,1274.0,877.65,595.91
Massachusetts,Atlantic,135,1308.32,1274.0,1806.99,1179.99
Arizona,Pacific,224,1309.21,1274.0,3587.55,2290.11
Texas,Interior,985,1310.31,1274.0,13416.09,8909.53
Nebraska,Interior,38,1311.24,1274.0,483.53000000000003,327.89
Florida,Gulf,383,1311.4,1274.0,4804.02,3207.11
California,Pacific,2001,1318.43,1274.0,27917.4,18479.42
Illinois,Interior,492,1323.15,1274.0,6898.96,4557.68
Pennsylvania,Atlantic,587,1324.2,1273.0,8027.03,5225.47
New York,Atlantic,1128,1324.49,1274.0,15541.03,10222.44
Rhode Island,Atlantic,56,1324.8,1273.0,805.76,501.84000000000003
Ohio,Atlantic,469,1325.73,1273.0,6768.95,4413.03
Kentucky,Gulf,139,1328.45,1274.0,1880.63,1242.3700000000001
North Carolina,Gulf,249,1334.88,1274.0,3450.86,2331.16
Minnesota,Interior,89,1335.47,1275.0,1161.46,779.28
Colorado,Pacific,182,1337.19,1274.0,2544.91,1694.63
New Jersey,Atlantic,130,1338.33,1274.0,1578.3500000000001,1017.76
Georgia,Gulf,184,1338.64,1274.0,2692.84,1751.32
Missouri,Interior,66,1339.86,1274.0,882.83,595.41
Idaho,Pacific,21,1342.57,1273.0,225.25,152.15
Wisconsin,Interior,110,1343.0,1274.0,1920.5,1219.58
District of Columbia,Atlantic,10,1347.7,1275.0,142.25,95.85
Maryland,Atlantic,105,1356.78,1274.0,1476.99,997.5699999999999
Connecticut,Atlantic,82,1357.55,1274.0,980.57,653.83
Washington,Pacific,506,1360.66,1275.0,6921.15,4566.64
Indiana,Interior,149,1381.5,1274.0,2002.78,1343.44
Tennessee,Gulf,183,1391.49,1276.0,2383.56,1573.52
South Dakota,Interior,12,1395.92,1640.0,151.34,104.14
Prince Edward Island,Atlantic,10,1420.3,1456.5,130.1,88.66
Vermont,Atlantic,11,1438.91,1273.0,162.44,109.98
New Mexico,Pacific,37,1441.84,1639.0,502.71000000000004,335.17
Iowa,Interior,30,1443.9,1636.0,400.37,269.96999999999997
Manitoba,Interior,12,1455.33,1455.0,138.25,90.27
Saskatchewan,Pacific,2,1457.0,1457.0,29.25,18.99
North Dakota,Interior,7,1637.86,1637.0,109.66,73.96000000000001
West Virginia,Atlantic,4,1638.0,1639.0,63.97,43.89
